﻿Nom du festival;Région principale de déroulement;Département principal de déroulement;Commune principale de déroulement;Code postal;Site internet du festival;Adresse e-mail;Décennie de création du festival;Année de création du festival;Discipline dominante;Période principale de déroulement du festival;Géocodage xy
R-cas biennale;Occitanie;Pyrénées-Orientales;Perpignan;66136;https://www.agithe.fr/festival-r-cas/;contact@agithe.fr;2010 et après;2012;Arts visuels, arts numériques;Après-saison (6 septembre - 31 décembre);42.6965954131, 2.89936953979
Plages de danse;Bretagne;Morbihan;Sarzeau;56240;https://www.golfedumorbihan-vannesagglomeration.bzh/festivalplagesdedanse;lhermine@gmvagglo.bzh;2010 et après;2012;Spectacle vivant;Avant-saison (1er janvier - 20 juin);47.5235379478, -2.75087136906
Festival du Livre Jeunesse – Je Lis Mômes;Nouvelle-Aquitaine;Charente-Maritime;Saujon;17421;https://www.facebook.com/Je-lis-momes-476777972449747/;jelismomes@orange.fr;2010 et après;2012;Livre, littérature;Avant-saison (1er janvier - 20 juin);45.6754417186, -0.936728980856
Scène ouverte de danse;Provence-Alpes-Côte d'Azur;Hautes-Alpes;Embrun;5046;wwww.ville-embrun.fr;;2010 et après;2012;Spectacle vivant;Avant-saison (1er janvier - 20 juin);44.5804294908, 6.47559298927
Les Bulles sonores;Occitanie;Aude;Limoux;11206;www.lesbullessonores.com;info@lesbullessonores.com;2010 et après;2012;Musique;Après-saison (6 septembre - 31 décembre);43.0499293279, 2.23958811407
Viens Dans Mon Ile;Pays de la Loire;Vendée;L'Île-d'Yeu;85113;viens-dans-mon-ie.com;contact@viens-dans-mon-ile.com;2010 et après;2012;Musique;Saison (21 juin - 5 septembre);46.7093514816, -2.34712702345
Y'a un os dans le potage;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;1053;http://festivalyaop.wixsite.com/asso100;festivalyaop@free.fr;2010 et après;2012;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);46.2051520382, 5.24602125501
Le champ des muses;Auvergne-Rhône-Alpes;Ardèche;Le Lac-d'Issarlès;7119;https://champdesmuses.wordpress.com;rebecca.roger.cruz@gmail.com;2010 et après;2012;Musique;Saison (21 juin - 5 septembre);44.8233324216, 4.07465283031
Festival Debussy;Centre-Val de Loire;Indre;Argenton-sur-Creuse;36006;http://www.festivaldebussy.com;;2010 et après;2012;Musique;Saison (21 juin - 5 septembre);46.5787862593, 1.4926283101
Écho À Venir;Nouvelle-Aquitaine;Gironde;Bordeaux;33063;www.echoavenir.fr/;organphantom@gmail.com;2010 et après;2012;Musique;Saison (21 juin - 5 septembre);44.8572445351, -0.57369678116
Rencontres in&out cannes;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Cannes;6029;www.lesouvreurs.com;benoitarnulf@yahoo.fr;2010 et après;2012;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);43.5526202843, 7.00427592728
Cinétoiles;Bourgogne-Franche-Comté;Côte-d'Or;Semur-en-Auxois;21603;http://www.etoilecinema.com;etoilecinema@wanadoo.fr;2010 et après;2012;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);47.4909559267, 4.34106366761
Les intergalactiques;Auvergne-Rhône-Alpes;Métropole de Lyon;Lyon;69123;https://intergalactiques.net;jal@intergalactiques.net;2010 et après;2012;Livre, littérature;Avant-saison (1er janvier - 20 juin);45.9136198331, 4.77375123298
Festival Barjac en jazz;Occitanie;Gard;Allegre-Les-Fumades;30008;http://www.leguidedesfestivals.com/2016-barjac-en-jazz-26311.html;mazarguilbob45@gmail.com;2010 et après;2012;Musique;Saison (21 juin - 5 septembre);44.1976013658, 4.25339592955
Humour en Weppes;Hauts-de-France;Nord;La Bassée;59051;https://humour-en-weppes.webnode.fr/;;2010 et après;2012;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);50.5397647046, 2.80910290453
Quais du départ;Auvergne-Rhône-Alpes;Rhône;Brignais;69027;SITE INTERNET  https://www.quaisdudepart.fr/;festival@quaisdudepart.fr;2010 et après;2012;Pluridisciplinaire;Après-saison (6 septembre - 31 décembre);45.678117475, 4.75268787981
Hiboux et le Chien blanc;Bourgogne-Franche-Comté;Doubs;Hyémondans;25311;http://hiboux-chien-blanc.weebly.com;;2010 et après;2012;Musique;Saison (21 juin - 5 septembre);47.3809106703, 6.63896940193
Ferté Jazz;Île-de-France;Seine-et-Marne;La Ferté-sous-Jouarre;77183;https://www.fertejazz.com/;billetterie@fertejazz.com;2010 et après;2012;Musique;Saison (21 juin - 5 septembre);48.9540164057, 3.12762174384
Festival Le Goût des autres;Normandie;Seine-Maritime;Le Havre;76351;https://legoutdesautres.lehavre.fr/;;2010 et après;2012;Livre, littérature;Avant-saison (1er janvier - 20 juin);49.498452502, 0.140153719153
Clignancourt danse sur les rails;Île-de-France;Paris;Paris;75056;www.lesjardinsduruisseau.fr;festival@lesjardinsduruisseau.org;2010 et après;2012;Spectacle vivant;Saison (21 juin - 5 septembre);48.8567, 2.3508
Festival international du film de Saint-Jean-de-Luz;Nouvelle-Aquitaine;Pyrénées-Atlantiques;Saint-Jean-de-Luz;64483;https://www.fifsaintjeandeluz.com/;evenements@sjdl.fr;2010 et après;2012;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);43.3947886873, -1.63099021573
Tours d'Horizon;Centre-Val de Loire;Indre-et-Loire;Tours;37261;http://www.ccntours.com;;2010 et après;2012;Spectacle vivant;Avant-saison (1er janvier - 20 juin);47.3986382281, 0.696526376417
Les Dimanches Animés;Bretagne;Ille-et-Vilaine;Bazouges-la-Pérouse;35019;https://www.couesnon-marchesdebretagne.fr/;spectacle@couesnon-marchesdebretagne.fr;2010 et après;2012;Spectacle vivant;Avant-saison (1er janvier - 20 juin);48.4405619878, -1.56381100666
Voix:là;Bourgogne-Franche-Comté;Haute-Saône;Gray;70279;www.festival-voixla.fr;voixfestival@orange.fr;2010 et après;2012;Musique;Après-saison (6 septembre - 31 décembre);47.4320889937, 5.61070658545
Photo Festival Baie de Saint-Brieuc;Bretagne;Côtes-d'Armor;Saint-Brieuc;22278;http://www.photo-festival.org/fr/accueil-festival-2021/;communication@sbaa.fr;2010 et après;2012;Arts visuels, arts numériques;Après-saison (6 septembre - 31 décembre);48.5149806053, -2.76154552773
La Route des Orgues;Bretagne;Ille-et-Vilaine;Saint-Malo;35288;www.laroutedesorgues.weebly.com;laroutedesorgues@gmail.com;2010 et après;2012;Musique;Avant-saison (1er janvier - 20 juin);48.6400443482, -1.98060627256
Le Funk prend les Rennes;Bretagne;Ille-et-Vilaine;Rennes;35238;https://www.engrenages.eu/le-funk-prend-les-rennes/;contact@engrenages.eu;2010 et après;2012;Musique;Après-saison (6 septembre - 31 décembre);48.1119791219, -1.68186449144
Calebasses d'avril;Provence-Alpes-Côte d'Azur;Vaucluse;Avignon;84007;https://sites.google.com/site/crreasud/crrea-sud-caravane/festivals/les-calebasses-d-avril;crreasud@gmx.fr;2010 et après;2012;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);43.9352448339, 4.84071572505
Direct Connection Festival;Bourgogne-Franche-Comté;Saône-et-Loire;Cluny;71137;;ilsscenent@yahoo.fr;2010 et après;2012;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);46.4303628582, 4.67033276327
Terres de Paroles;Normandie;Seine-Maritime;Jumièges;76378;www.terresdeparoles.com;muriel.amaury@terresdeparoles.com;2010 et après;2012;Livre, littérature;Après-saison (6 septembre - 31 décembre);49.427073553, 0.831659847193
La Ribouldingue;Pays de la Loire;Mayenne;La Chapelle-au-Riboul;53057;;rastaducoeur53@gmail.com;2010 et après;2012;Musique;Après-saison (6 septembre - 31 décembre);48.3161643792, -0.432803278756
Le Haillan est dans la place;Nouvelle-Aquitaine;Gironde;Le Haillan;33200;http://www.ville-lehaillan.fr/;contact@ville-lehaillan.fr;2010 et après;2012;Spectacle vivant;Après-saison (6 septembre - 31 décembre);44.8690837903, -0.684443512134
Folkiri;Pays de la Loire;Sarthe;Le Mans;72181;;;2010 et après;2012;Musique;Après-saison (6 septembre - 31 décembre);47.9885256718, 0.200030493539
La clé dans le sac;Centre-Val de Loire;Indre;Mézières-en-Brenne;36123;https://www.coeurdebrenne.fr;;2010 et après;2012;Spectacle vivant;Après-saison (6 septembre - 31 décembre);46.8120642094, 1.25669191407
DDESSIN{20};Île-de-France;Paris;Paris;75056;http://ddessinparis.fr/2020/;;2010 et après;2012;Arts visuels, arts numériques;Saison (21 juin - 5 septembre);48.8567, 2.3508
Aniane en Scènes;Occitanie;Hérault;Aniane;34010;https://www.aniane-en-scenes.com/;culture@ville-aniane.fr;2010 et après;2012;Spectacle vivant;Saison (21 juin - 5 septembre);43.6835011433, 3.59259437611
La Manufacture d'idées;Bourgogne-Franche-Comté;Saône-et-Loire;Hurigny;71235;http://lamanufacturedidees.org/;contact.lamanufacture@gmail.com;2010 et après;2012;Livre, littérature;Avant-saison (1er janvier - 20 juin);46.3429969068, 4.79636186257
La constellation imaginaire;Hauts-de-France;Pas-de-Calais;Lens;62498;www.culturecommune.fr;f.francois@culturecommune.fr;2010 et après;2012;Spectacle vivant;Avant-saison (1er janvier - 20 juin);50.4374264148, 2.82105851259
Les Turbulles;Auvergne-Rhône-Alpes;Isère;Leyrieu;38210;https://turbulles.a-balles-et-bulles.fr/;;2010 et après;2012;Spectacle vivant;Avant-saison (1er janvier - 20 juin);45.7563040682, 5.25503498481
Cour Denis;Bourgogne-Franche-Comté;Nièvre;Lormes;58145;;jeromemorvan@hotmail.fr;2010 et après;2012;Musique;Saison (21 juin - 5 septembre);47.2894645643, 3.82491613793
Tous dehors (enfin);Provence-Alpes-Côte d'Azur;Hautes-Alpes;Gap;5061;https://www.theatre-la-passerelle.eu/Festival-Tous-dehors-enfin-16;accueil@theatre-la-passerelle.com;2010 et après;2012;Spectacle vivant;Avant-saison (1er janvier - 20 juin);44.5798600596, 6.06486052138
6 Week-Ends d'Art Contemporain;Grand Est;Meurthe-et-Moselle;Nancy;54395;;asso6weac@gmail.com;2010 et après;2012;Arts visuels, arts numériques;Avant-saison (1er janvier - 20 juin);48.6901995499, 6.17588254434
Festival Pont des arts;Bourgogne-Franche-Comté;Doubs;Pontarlier;25462;www.festivalpontdesarts.com;programmation@sarbacane-theatre.com;2010 et après;2012;Spectacle vivant;Avant-saison (1er janvier - 20 juin);46.9119730882, 6.38914602031
Festival au clair de lune;Guadeloupe;Guadeloupe;Sainte-Rose;97129;;;2010 et après;2012;Cinéma, audiovisuel;Saison (21 juin - 5 septembre);16.2939779294, -61.7100293031
Comme ça vous chante;Nouvelle-Aquitaine;Charente-Maritime;Asnières-la-Giraud;17022;http://commecavouschante.weebly.com/;commecavouschante@gmail.com;2010 et après;2012;Musique;Saison (21 juin - 5 septembre);45.8934744108, -0.510489870265
L’ile en été;Pays de la Loire;Sarthe;Fillé;72133;;;2010 et après;2012;Spectacle vivant;Saison (21 juin - 5 septembre);47.9023789335, 0.115228035183
Caph'ARTS'Naüm;Grand Est;Haute-Marne;Lafauche;52256;"www;caphartsnaum.com";anarts.chroniques@yahoo.fr;2010 et après;2012;Musique;Saison (21 juin - 5 septembre);48.3053380759, 5.49239986278
Temps fort musique et danse amateur;Pays de la Loire;Sarthe;Montval-sur-Loir;72071;http://www.zutanobazar.fr/territoire-pratique-amateur/pratiques-amateur-2/temps-fort-danse-musique-amateur/;;2010 et après;2012;Musique;Avant-saison (1er janvier - 20 juin);47.702207042, 0.430642762781
La clé des portes;Centre-Val de Loire;Loir-et-Cher;Roches;23162;https://www.lacledesportes-festival.com/;;2010 et après;2012;Musique;Saison (21 juin - 5 septembre);46.2810003098, 1.99050170917
Festival de Théâtre en Albret;Nouvelle-Aquitaine;Lot-et-Garonne;Vianne;47318;;culture.vianne.enalbret@gmail.com;2010 et après;2012;Spectacle vivant;Saison (21 juin - 5 septembre);44.2122017906, 0.322783861284
Festival Jazz Manouche;Grand Est;Haut-Rhin;Zillisheim;68384;www.festivaljazzmanouche.org;communication@festivaljazzmanouche.org;2010 et après;2012;Musique;Avant-saison (1er janvier - 20 juin);47.6858083083, 7.30319308149
Un Monde ... Des Cultures;Île-de-France;Val-d'Oise;Saint-Gratien;95555;https://www.ville-saintgratien.fr/listes/festival-umdc/;saisonculturelle@mairie-saintgratien.fr;2010 et après;2012;Musique;Saison (21 juin - 5 septembre);48.9689724948, 2.28518003438
Ça jazz à Brides;Auvergne-Rhône-Alpes;Savoie;Brides-les-Bains;73057;http://www.jazzabrides.com;contact@brides-les-bains.com;2010 et après;2012;Musique;Saison (21 juin - 5 septembre);45.4538077442, 6.56840188785
ManiFeste;Île-de-France;Paris;Paris;75056;http://ircam.fr;billetterie@ircam.fr;2010 et après;2012;Musique;Saison (21 juin - 5 septembre);48.8567, 2.3508
Biennale des écritures du réel;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Marseille;13055;www.theatrelacite.com;production@theatrelacite.com;2010 et après;2012;Spectacle vivant;Avant-saison (1er janvier - 20 juin);43.296346, 5.369889
Les Noces Félines;Grand Est;Marne;Reims;51454;velours-prod.com;contact.velours@gmail.com;2010 et après;2012;Musique;Après-saison (6 septembre - 31 décembre);49.2514906066, 4.0402302322
Musique en Kercorb;Occitanie;Aude;Chalabre;11091;http://chalabre24hactus.blogspirit.com/tag/musique+en+kercorb+2021;;2010 et après;2012;Musique;saison (21 juin - 5 septembre);42.9817651679, 2.01049024009
Festival du film d'éducation;Guadeloupe;Guadeloupe;Lamentin;97213;https://yakamedia.cemea.asso.fr/;;2010 et après;2012;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);14.6247600105, -60.9933549815
Femmes en campagne;Centre-Val de Loire;Indre-et-Loire;Rouziers-de-Touraine;37204;sallequatrevents.com // https://femmesencampagne.fr/;;2010 et après;2012;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);47.5311263676, 0.647449146554
Le Festival des petits cailloux;Occitanie;Tarn;Albi;81004;http://www.albioccitana.org/fr/festival-les-petits-cailloux/projet.html;festivallespetitscailloux@gmail.com;2010 et après;2012;Spectacle vivant;Après-saison (6 septembre - 31 décembre);43.9258213622, 2.14686328555
Palais en jazz;Hauts-de-France;Oise;Compiègne;60159;http://palaisenjazz.com/fr;contact@palaisenjazz.com;2010 et après;2012;Musique;Saison (21 juin - 5 septembre);49.3990601478, 2.85317249363
Vilaine en Fête;Bretagne;Morbihan;La Roche-Bernard;56195;www.vilaineenfete.fr;contact@vilaineenfete.fr;2010 et après;2012;Musique;Avant-saison (1er janvier - 20 juin);47.5193208116, -2.30307422213
Salon du Livre Cita'livres;Nouvelle-Aquitaine;Charente-Maritime;Le Château-d'Oléron;17093;www.cita-livres.fr;lacitadelledulivreoleron@gmail.com;2010 et après;2012;Livre, littérature;Avant-saison (1er janvier - 20 juin);45.8813853125, -1.2166234835
La Bergerie;Centre-Val de Loire;Loir-et-Cher;Mareuil-sur-Cher;41126;;;2010 et après;2012;Musique;Saison (21 juin - 5 septembre);47.2756208547, 1.30313031356
Les Automnales du festival de Thau;Occitanie;Hérault;Mèze;34157;https://www.festivaldethau.com/en-saison/automnales/;;2010 et après;2012;Musique;Après-saison (6 septembre - 31 décembre);43.4292981138, 3.57774572973
Festival Réveillez les Chouettes;Normandie;Manche;Saussemesnil;50567;www.rlchouettes.fr;rlc50@free.fr;De 2000 à 2009;2012;Musique;Saison (21 juin - 5 septembre);49.5728877751, -1.4894487737
Les nuits du piano d'Erbalunga;Corse;Haute-Corse;Brando;2B043;http://www.lesnuitsdupianoerbalunga.fr/;;2010 et après;2012;Musique;Saison (21 juin - 5 septembre);42.7792996993, 9.45029993821
Les Enchanteurs;Bretagne;Ille-et-Vilaine;Châteaugiron;35069;www.lesenchanteurs.bzh;i.saliot@pcc.bzh;2010 et après;2012;Livre, littérature;Après-saison (6 septembre - 31 décembre);48.0441575779, -1.50016256863
Falz'art;Centre-Val de Loire;Loiret;Fay-aux-Loges;45142;https://mairie-fayauxloges.fr/culture/155:falz-art;;2010 et après;2012;Musique;Après-saison (6 septembre - 31 décembre);47.9326007256, 2.16025043268
American Festival de Marcenais;Nouvelle-Aquitaine;Gironde;Marcenais;33266;http://www.facebook.com/American-Festival-643146612772114;spiritcountryclubmarcenais@orange.fr;2010 et après;2012;Musique;Avant-saison (1er janvier - 20 juin);45.0595596341, -0.344873421107
Le Chant des Grôles;Nouvelle-Aquitaine;Vienne;Vivonne;86293;http://chant-des-groles.fr/;lechantdesgroles@gmail.com;2010 et après;2012;Musique;Saison (21 juin - 5 septembre);46.412040698, 0.257005369348
Festival international du Film Indépendant de Bordeaux Fifib;Nouvelle-Aquitaine;Gironde;Bordeaux;33063;http://fifib.com;contact@fifib.com;2010 et après;2012;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);44.8572445351, -0.57369678116
Rencontres photographiques de Guyane;Guyane;Guyane;Cayenne;97302;rencontresphotographiquesdeguyane.com;contact@tetedanslesimages.fr;2010 et après;2012;Arts visuels, arts numériques;Novembre;5.02173742828, -52.5012511113
Les rencontres musicales de Chaon;Centre-Val de Loire;Loir-et-Cher;Chaon;41036;www.rencontresmusicalesdechaon.fr;;2010 et après;2012;Musique;Saison (21 juin - 5 septembre);47.6121257976, 2.162800504
Lez'Arts à la Mare;Normandie;Eure;Claville;27161;https://lezartsalamare.weebly.com/;lezartsalamare@gmail.com;2010 et après;2012;Spectacle vivant;Après-saison (6 septembre - 31 décembre);49.0485570128, 1.01887133225
Mais où va-t-on ?;Hauts-de-France;Pas-de-Calais;Fléchin;62336;www.l-arret-creation.fr;cielarretcreation@gmail.com;2010 et après;2012;Spectacle vivant;Avant-saison (1er janvier - 20 juin);50.5587478522, 2.28119677571
Festival Outre-mer en Bourgogne;Bourgogne-Franche-Comté;Saône-et-Loire;Montceau-les-Mines;71306;;douce.heure.antillaise@wanadoo.fr;2010 et après;2012;Spectacle vivant;Avant-saison (1er janvier - 20 juin);46.6762539128, 4.3540960404
Rock'Aisne;Hauts-de-France;Aisne;Chauny;2173;www.rockaisne.com;jeanmichelfondement@gmail.com;2010 et après;2012;Musique;Avant-saison (1er janvier - 20 juin);49.619880673, 3.21875355041
Couleurs jazz festival;Bourgogne-Franche-Comté;Jura;Lons-le-Saunier;39300;https://leboeufsurletoit.fr/;contact.leboeufsurletoit@orange.fr;2010 et après;2012;Musique;Saison (21 juin - 5 septembre);46.6744796278, 5.55733212947
Le mois de la photo en Nièvre;Bourgogne-Franche-Comté;Nièvre;Nevers;58194;;dom.laroche@sfr.fr;2010 et après;2012;Arts visuels, arts numériques;Après-saison (6 septembre - 31 décembre);46.9881194908, 3.15689130958
Festival des Arts Sonnés;Bretagne;Côtes-d'Armor;Saint-André-des-Eaux;22274;www.festival-des-arts-sonnes.fr;prog@festival-des-arts-sonnes.fr;2010 et après;2012;Musique;Après-saison (6 septembre - 31 décembre);48.3731003808, -2.01421441815
La criée tout court;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Marseille;13055;www.theatre-lacriee.com;contact@theatre-lacriee.com;2010 et après;2012;Spectacle vivant;Avant-saison (1er janvier - 20 juin);43.296346, 5.369889
Paris Electronic Week;Île-de-France;Paris;Paris;75056;pariselectronicweek.com;info@technopol.net;2010 et après;2012;Musique;Après-saison (6 septembre - 31 décembre);48.8630541318, 2.35936105897
D'une cour à l'autre;Auvergne-Rhône-Alpes;Ardèche;Villeneuve-de-Berg;7341;https://culturenfait.wordpress.com/festival-dune-cour-a-lautre/;cultureenfait@gmail.com;2010 et après;2012;Musique;Avant-saison (1er janvier - 20 juin);44.549017078, 4.50337369457
ZOA - Zone d'Occupation Artistique;Île-de-France;Paris;Paris;75056;zoafestival.wordpress.com;en.corps@wanadoo.fr;2010 et après;2012;Spectacle vivant;Après-saison (6 septembre - 31 décembre);48.8760285569, 2.36111290456
Buëch-durance;Provence-Alpes-Côte d'Azur;Hautes-Alpes;Veynes;5179;www.orchestre-opus.fr;gerard-05@wanadoo.fr;2010 et après;2012;Musique;Après-saison (6 septembre - 31 décembre);44.5571529708, 5.82286002514
Cases Départ;Pays de la Loire;Maine-et-Loire;Mazé-Milon;49194;;mediatheque@maze-milon.fr;2010 et après;2012;Livre, littérature;Avant-saison (1er janvier - 20 juin);47.4603950447, -0.284298744303
Festival du film de Fontenay-le-Comte De la littérature au cinéma;Pays de la Loire;Vendée;Fontenay-le-Comte;85092;https://festivalfilmfontenay.com/;;2010 et après;2012;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);46.4563186117, -0.793449510859
Normandy Metal Fest;Normandie;Eure;Louviers;27375;https://www.facebook.com/Normandy.Metal.fest/;;2010 et après;2012;Musique;Avant-saison (1er janvier - 20 juin);49.2206099164, 1.15340030158
Festival d'Artagnan;Occitanie;Gers;Lupiac;32219;https://dartagnanchezdartagnan.org/;contact@dartagnanchezdartagnan.org;2010 et après;2012;Spectacle vivant;Saison (21 juin - 5 septembre);43.6880530746, 0.187356485668
Tous dehors (enfin !);Provence-Alpes-Côte d'Azur;Hautes-Alpes;Gap;5061;www.theatre-la-passerelle.eu;accueil@theatre-la-passerelle.com;2010 et après;2012;Spectacle vivant;Après-saison (6 septembre - 31 décembre);44.5798600596, 6.06486052138
L'automne de Morthomiers;Centre-Val de Loire;Cher;Morthomiers;18157;www.automne-morthomiers.com;;2010 et après;2012;Musique;Après-saison (6 septembre - 31 décembre);47.0436630553, 2.27235598629
Lignes de crêtes;Provence-Alpes-Côte d'Azur;Hautes-Alpes;Saint-Jean-Saint-Nicolas;5145;www.champsaur-valgaudemar.com;;2010 et après;2012;Livre, littérature;Après-saison (6 septembre - 31 décembre);44.6744954225, 6.23085847467
Plane'r Fest;Auvergne-Rhône-Alpes;Rhône;Colombier-saugnieu;69299;http://www.planerfest.com;;2010 et après;2012;Musique;Saison (21 juin - 5 septembre);45.7178013267, 5.10337456661
Les émouvantes;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Marseille;13055;festival-emouvantes.fr;festival-emouvantes@tchamitchian.fr;2010 et après;2012;Musique;Après-saison (6 septembre - 31 décembre);43.296346, 5.369889
Nocturnes d'Opale;Hauts-de-France;Pas-de-Calais;Boulogne-sur-Mer;62160;https://www.agglo-boulonnais.fr/information/agenda/festival-nocturnes-dopale-2022-harmonies-du-soir-1-1828;;2010 et après;2012;Musique;Saison (21 juin - 5 septembre);50.7271332663, 1.60756334802
Les pontons flingueurs;Auvergne-Rhône-Alpes;Haute-Savoie;Annecy;74010;http://pontons.histoiredenparler.info/;;2010 et après;2012;Livre, littérature;Saison (21 juin - 5 septembre);45.8906432566, 6.12551773598
Salon du livre de Chambœuf;Auvergne-Rhône-Alpes;Loire;Chamboeuf;42043;http://www.balades-litteraires-de-chamboeuf.com/;;2010 et après;2012;Livre, littérature;Après-saison (6 septembre - 31 décembre);45.5743049771, 4.32163705727
La poule à facettes;Centre-Val de Loire;Indre-et-Loire;Cormery;37083;assoartlequin.wix.com/lapouleafacettes;;2010 et après;2012;Musique;Avant-saison (1er janvier - 20 juin);47.2592432669, 0.845873952159
En ces lieux...des livres;Nouvelle-Aquitaine;Vienne;Loudun;86137;https://www.facebook.com/enceslieuxdeslivres/;cultivonslelivre@gmail.com;2010 et après;2012;Livre, littérature;Saison (21 juin - 5 septembre);47.0098072856, 0.0990443124673
Fête du livre et de l'image de Moûtiers;Auvergne-Rhône-Alpes;Savoie;Moûtiers;73181;https://auvergnerhonealpes-livre-lecture.org/annuaires/manifestations/2293;;2010 et après;2012;Livre, littérature;Après-saison (6 septembre - 31 décembre);45.4857466628, 6.53657755978
Festival des foins;Bourgogne-Franche-Comté;Yonne;Saint-Germain-des-Champs;89347;http://www.festivaldesfoins.fr/;assolaboiteameuh@gmail.com;2010 et après;2012;Musique;Avant-saison (1er janvier - 20 juin);47.4173168736, 3.92129827487
Festival Musikensaire;Normandie;Manche;Saint-Pierre-Eglise;50178;https://musikensaire.fr/;;2010 et après;2012;Musique;Saison (21 juin - 5 septembre);49.6810861003, -1.45453917857
Courant3d;Nouvelle-Aquitaine;Charente;Angoulême;16015;www.courant3d.org;f.serre@courant3d-filmfest.com;2010 et après;2012;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);45.6472585146, 0.14514490683
Festival du Chakiri;Centre-Val de Loire;Loiret;Beaugency;45028;chakiri-beaugency.com;;2010 et après;2012;Spectacle vivant;Après-saison (6 septembre - 31 décembre);47.7781494309, 1.63946818857
Les Scènes Estivales;Nouvelle-Aquitaine;Pyrénées-Atlantiques;Biarritz;64122;http://www.biarritz-evenement.fr/;contact@biarritz-evenement.fr;2010 et après;2012;Musique;Saison (21 juin - 5 septembre);43.4695847227, -1.55309857519
Ciné des Villes Ciné des Champs;Nouvelle-Aquitaine;Creuse;Bourganeuf;23030;www.lavaudsoubranne.com;i-bize@orange.fr;2010 et après;2012;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);45.9488316106, 1.74900640908
Festival Cinédélices;Occitanie;Lot;Cahors;46042;https://www.cinedelices.fr/fr;ass.cineplus.cahors@gmail.com;2010 et après;2012;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);44.4507370916, 1.44075837848
Piano Pianos;Guyane;Guyane;Cayenne;97302;pianopiano.com;artsetfacts.asso@gmail.com;2010 et après;2012;Musique;Octobre;5.02173742828, -52.5012511113
Festival du morse;Occitanie;Tarn;Coufouleux;81070;https://ciedumorse.com/project/le-festival-du-morse-2021/;contact@ciedumorse.com;2010 et après;2012;Spectacle vivant;Après-saison (6 septembre - 31 décembre);43.7978489409, 1.73158426557
Blue Motte jazz festival;Auvergne-Rhône-Alpes;Drôme;La Motte-Chalancon;26215;Blue-motte-jazz.fr;michel.piccardi1@gmail.com;2010 et après;2012;Musique;Saison (21 juin - 5 septembre);44.4953213004, 5.38478825225
Escales d'été;Nouvelle-Aquitaine;Gironde;Mérignac;33281;https://escales-ete.com;contact@merignac.com;2010 et après;2012;Spectacle vivant;Saison (21 juin - 5 septembre);44.8322953289, -0.681733084891
Festival international cubano;Provence-Alpes-Côte d'Azur;Vaucluse;Orange;84087;http://www.festival-international-cubano.com/;yoann.henry72@gmail.com;2010 et après;2012;Spectacle vivant;Après-saison (6 septembre - 31 décembre);44.128913537, 4.8098792403
La Baie des Livres - Salon du livre jeunesse du Pays de Morlaix;Bretagne;Finistère;Saint-Martin-des-Champs;29254;http://www.labaiedeslivres.com;labaiedeslivres@laposte.net;2010 et après;2012;Livre, littérature;Après-saison (6 septembre - 31 décembre);48.5757887631, -3.85616057853
Chansons et mots d'amour;Nouvelle-Aquitaine;Landes;Amou;40002;http://www.chansonsetmotsdamou.fr/;prodfestival@chansonsetmotsdamou.fr;2010 et après;2012;Musique;Saison (21 juin - 5 septembre);43.5938659835, -0.743678079626
Polar en Cabanes;Nouvelle-Aquitaine;Gironde;Bordeaux;33063;https://www.facebook.com/polarencabanes/;asso.achaab@orange.fr;2010 et après;2012;Livre, littérature;Après-saison (6 septembre - 31 décembre);44.8572445351, -0.57369678116
Vie Sauvage;Nouvelle-Aquitaine;Gironde;Bourg;33067;http://www.festivalviesauvage.fr/;communication@festivalviesauvage.fr;2010 et après;2012;Musique;Avant-saison (1er janvier - 20 juin);45.0398664572, -0.547187308975
Onze;Pays de la Loire;Mayenne;Laval;53130;www.festival11.fr;stephane.grimbert@le-carre.org;2010 et après;2012;Spectacle vivant;Après-saison (6 septembre - 31 décembre);48.0608565468, -0.766005687142
BienVenus sur Mars;Pays de la Loire;Sarthe;Oisseau-le-Petit;72225;https://www.bienvenus-sur-mars.fr/;adm.arrosoir@gmail.com;2010 et après;2012;Arts visuels, arts numériques;Avant-saison (1er janvier - 20 juin);48.3488422257, 0.0741365485752
